time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-02-03 09:30:00-05:00,MLTrader,c4c1e988622a4597ab2266f82187ea03,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-03 09:30:00-05:00,MLTrader,c4c1e988622a4597ab2266f82187ea03,SPY,sell,market,fill,1,gtc,0.0,1,stock,323.3500061035156,155.0,0.0
2020-02-10 09:30:00-05:00,MLTrader,2172fbe527de403d92fde97c49bf587e,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,MLTrader,2172fbe527de403d92fde97c49bf587e,SPY,sell,market,fill,1,gtc,0.0,1,stock,331.2300109863281,227.0,0.0
2020-02-13 09:30:00-05:00,MLTrader,97bed4de5859461da88d111b3bc8f642,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-13 09:30:00-05:00,MLTrader,97bed4de5859461da88d111b3bc8f642,SPY,sell,market,fill,1,gtc,0.0,1,stock,335.8599853515625,335.0,0.0
2020-03-06 09:30:00-05:00,MLTrader,af174eee43b847be8f550f6644fa1588,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-06 09:30:00-05:00,MLTrader,af174eee43b847be8f550f6644fa1588,SPY,sell,market,fill,1,gtc,0.0,1,stock,293.1499938964844,576.0,0.0
2020-03-09 09:30:00-04:00,MLTrader,1d9d557869984f4db5e86be89c6c5162,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-09 09:30:00-04:00,MLTrader,1d9d557869984f4db5e86be89c6c5162,SPY,sell,market,fill,1,gtc,0.0,1,stock,275.29998779296875,920.0,0.0
2020-04-13 09:30:00-04:00,MLTrader,817562b0d23f4889aff23d8880304c73,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-04-13 09:30:00-04:00,MLTrader,817562b0d23f4889aff23d8880304c73,SPY,sell,market,fill,1,gtc,0.0,1,stock,277.1400146484375,1365.0,0.0
2020-04-27 09:30:00-04:00,MLTrader,067a1cbcd68b497790ac9db7ca01234d,SPY,buy,market,new,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,eabc63a1590d41eb893b8061f8cb994d,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,067a1cbcd68b497790ac9db7ca01234d,SPY,buy,market,fill,1,day,0.0,1,stock,285.1199951171875,3578.0,0.0
2020-04-27 09:30:00-04:00,MLTrader,eabc63a1590d41eb893b8061f8cb994d,SPY,buy,market,fill,1,gtc,0.0,1,stock,285.1199951171875,1991.0,0.0
